year,Fatalities
1908,1.0
1912,5.0
1913,1.0
1913,14.0
1913,30.0
1915,21.0
1915,19.0
1916,20.0
1916,22.0
1916,19.0
1916,27.0
1916,20.0
1917,20.0
1917,23.0
1917,21.0
1917,24.0
1917,18.0
1917,18.0
1918,23.0
1918,22.0
1918,19.0
1918,1.0
1919,1.0
1919,1.0
1919,1.0
1919,1.0
1919,0.0
1919,1.0
1920,1.0
1920,1.0
1920,1.0
1920,1.0
1920,1.0
1920,1.0
1920,1.0
1920,1.0
1920,2.0
1920,2.0
1920,1.0
1920,2.0
1920,2.0
1920,1.0
1920,1.0
1920,4.0
1920,1.0
1921,1.0
1921,3.0
1921,2.0
1921,1.0
1921,1.0
1921,1.0
1921,1.0
1921,1.0
1921,1.0
1921,2.0
1921,46.0
1921,5.0
1921,3.0
1922,5.0
1922,34.0
1922,7.0
1922,17.0
1922,3.0
1925,1.0
1922,3.0
1922,3.0
1922,1.0
1922,4.0
1922,2.0
1922,1.0
1923,3.0
1923,1.0
1923,1.0
1923,1.0
1923,6.0
1923,2.0
1923,1.0
1923,6.0
1923,2.0
1923,1.0
1923,52.0
1923,1.0
1924,1.0
1924,3.0
1924,3.0
1924,1.0
1924,1.0
1924,1.0
1924,8.0
1925,5.0
1925,4.0
1925,2.0
1925,4.0
1925,2.0
1925,1.0
1925,1.0
1925,14.0
1925,3.0
1925,2.0
1926,1.0
1926,1.0
1926,1.0
1926,7.0
1926,2.0
1926,4.0
1926,4.0
1926,2.0
1926,4.0
1926,0.0
1926,3.0
1926,1.0
1927,2.0
1927,1.0
1927,3.0
1927,1.0
1927,1.0
1927,2.0
1927,1.0
1927,5.0
1927,1.0
1927,1.0
1927,7.0
1927,2.0
1927,6.0
1927,2.0
1927,4.0
1927,1.0
1927,6.0
1927,1.0
1927,2.0
1927,1.0
1927,4.0
1928,3.0
1928,2.0
1928,2.0
1928,1.0
1928,1.0
1928,1.0
1928,10.0
1928,2.0
1928,1.0
1928,9.0
1928,1.0
1928,2.0
1928,3.0
1928,5.0
1928,1.0
1928,6.0
1928,4.0
1928,1.0
1928,7.0
1928,3.0
1928,1.0
1928,7.0
1928,3.0
1928,3.0
1928,1.0
1928,1.0
1928,1.0
1928,3.0
1928,1.0
1928,3.0
1928,5.0
1928,14.0
1928,6.0
1928,3.0
1928,1.0
1928,4.0
1928,2.0
1929,1.0
1929,1.0
1929,2.0
1929,1.0
1929,2.0
1929,14.0
1929,4.0
1929,6.0
1929,2.0
1929,4.0
1929,2.0
1929,1.0
1929,7.0
1929,1.0
1929,5.0
1929,1.0
1929,4.0
1929,1.0
1929,1.0
1929,4.0
1929,1.0
1929,8.0
1929,3.0
1929,5.0
1929,1.0
1929,1.0
1929,7.0
1929,1.0
1929,2.0
1929,4.0
1929,7.0
1929,3.0
1929,1.0
1929,1.0
1929,3.0
1929,2.0
1929,5.0
1930,1.0
1930,3.0
1930,16.0
1930,2.0
1930,5.0
1930,1.0
1930,2.0
1930,4.0
1930,3.0
1930,1.0
1930,5.0
1930,5.0
1930,10.0
1930,2.0
1930,3.0
1930,48.0
1930,8.0
1930,4.0
1930,3.0
1930,3.0
1930,1.0
1930,1.0
1930,3.0
1930,4.0
1931,2.0
1931,1.0
1931,1.0
1931,2.0
1931,1.0
1931,8.0
1931,8.0
1931,2.0
1931,2.0
1931,1.0
1931,1.0
1931,4.0
1931,2.0
1931,4.0
1931,2.0
1931,2.0
1931,1.0
1931,7.0
1931,6.0
1931,1.0
1931,4.0
1931,3.0
1931,3.0
1931,5.0
1931,3.0
1931,1.0
1931,3.0
1931,1.0
1931,2.0
1931,5.0
1931,2.0
1931,4.0
1932,1.0
1932,8.0
1932,5.0
1932,1.0
1932,1.0
1932,3.0
1932,2.0
1932,7.0
1932,1.0
1932,3.0
1932,1.0
1932,1.0
1932,2.0
1932,3.0
1932,9.0
1932,1.0
1932,2.0
1932,3.0
1932,1.0
1932,3.0
1932,1.0
1932,2.0
1932,2.0
1932,5.0
1932,2.0
1932,2.0
1932,1.0
1932,2.0
1933,1.0
1933,2.0
1933,1.0
1933,1.0
1933,1.0
1933,2.0
1933,3.0
1933,15.0
1933,1.0
1933,73.0
1933,6.0
1933,4.0
1933,6.0
1933,1.0
1933,5.0
1933,8.0
1933,10.0
1933,2.0
1933,4.0
1933,1.0
1933,8.0
1933,14.0
1933,2.0
1933,7.0
1933,4.0
1933,10.0
1934,14.0
1934,2.0
1934,8.0
1934,1.0
1934,4.0
1934,5.0
1934,3.0
1934,3.0
1934,6.0
1934,2.0
1934,7.0
1934,5.0
1934,1.0
1934,1.0
1934,3.0
1934,12.0
1934,2.0
1934,0.0
1934,5.0
1934,3.0
1934,11.0
1934,2.0
1934,4.0
1934,4.0
1934,2.0
1934,3.0
1934,1.0
1934,4.0
1934,7.0
1934,1.0
1935,1.0
1935,11.0
1935,3.0
1935,3.0
1935,5.0
1935,1.0
1935,7.0
1935,1.0
1935,5.0
1935,3.0
1935,50.0
1935,1.0
1935,2.0
1935,6.0
1935,17.0
1935,6.0
1935,2.0
1935,13.0
1935,0.0
1935,4.0
1935,3.0
1935,2.0
1935,3.0
1935,5.0
1935,12.0
1935,6.0
1935,1.0
1935,4.0
1935,4.0
1935,14.0
1935,1.0
1935,3.0
1935,1.0
1935,11.0
1935,3.0
1935,12.0
1936,17.0
1936,13.0
1936,6.0
1936,1.0
1936,4.0
1936,0.0
1936,14.0
1936,2.0
1936,13.0
1936,3.0
1936,7.0
1936,3.0
1936,2.0
1936,2.0
1936,2.0
1936,1.0
1936,1.0
1936,7.0
1936,7.0
1936,3.0
1936,1.0
1936,8.0
1936,2.0
1936,2.0
1936,2.0
1936,2.0
1936,3.0
1936,4.0
1936,1.0
1936,1.0
1936,11.0
1936,9.0
1936,4.0
1936,2.0
1936,6.0
1936,5.0
1936,15.0
1936,7.0
1936,2.0
1936,14.0
1936,6.0
1936,0.0
1936,12.0
1937,5.0
1937,12.0
1937,11.0
1937,5.0
1937,4.0
1937,5.0
1937,13.0
1937,2.0
1937,35.0
1937,4.0
1937,2.0
1937,15.0
1937,9.0
1937,14.0
1937,3.0
1937,4.0
1937,3.0
1937,1.0
1938,8.0
1937,2.0
1937,4.0
1937,19.0
1937,10.0
1937,11.0
1937,3.0
1937,2.0
1937,2.0
1937,3.0
1938,6.0
1938,10.0
1938,7.0
1938,1.0
1938,11.0
1938,13.0
1938,8.0
1938,2.0
1938,3.0
1938,9.0
1938,7.0
1938,1.0
1938,19.0
1938,1.0
1938,2.0
1938,9.0
1938,2.0
1938,10.0
1938,3.0
1938,1.0
1938,3.0
1938,4.0
1938,10.0
1938,20.0
1938,14.0
1938,1.0
1938,4.0
1938,15.0
1938,6.0
1938,12.0
1938,16.0
