SNo,States,OwnerofPrivateVehicle-Accident-2014,OwnerofPrivateVehicle-Killed-2014,OwnerofPublicCommVehicle-Accident-2014,OwnerofPublicCommVehicle-Killed-2014,PaidDriver-Accident-2014,PaidDriver-Killed-2014,Others-Accident-2014,Others-Killed-2014,RegularLicence-Accident-2014,RegularLicence-Killed-2014,LearnersLicence-Accident-2014,LearnersLicence-Killed-2014,WithoutLicence-Accident-2014,WithoutLicence-Killed-2014
1,Andhra Pradesh,7051,2133,3235,1128,7243,2316,6911,1488,21605,6194,589,152,2246,719
2,Arunachal Pradesh,53,19,50,12,56,8,46,7,84,24,66,17,55,5
3,Assam,3525,342,2264,107,798,28,557,12,7105,474,28,11,11,4
4,Bihar,2855,829,2109,261,3386,188,1206,159,4985,758,3117,450,1454,229
5,Chhattisgarh,5823,636,2809,321,3192,341,1997,247,10202,1503,2284,37,1335,5
6,Goa,2620,130,343,10,943,34,323,9,4106,180,42,0,81,3
7,Gujarat,10302,892,6128,463,2694,315,4588,497,21018,1950,1840,132,854,85
8,Haryana,1965,417,1917,425,4609,779,2185,522,8540,1056,1270,615,866,472
9,Himachal Pradesh,1416,143,554,57,876,110,212,31,2695,322,42,2,321,17
10,Jammu & Kashmir,2605,233,866,51,2390,66,0,0,3811,191,1480,61,570,98
11,Jharkhand,1161,290,1111,389,301,119,2628,185,4268,624,476,165,457,194
12,Karnataka,13073,703,7983,1158,10946,929,11711,682,36702,953,3712,1373,3299,1146
13,Kerala,11622,498,6556,291,16614,633,1490,17,35968,1426,68,3,246,10
14,Madhya Pradesh,23200,430,10577,1237,12002,1270,7693,376,42664,537,7435,1362,3373,1414
15,Maharashtra,30341,2601,7443,731,11997,1249,11846,1233,49490,5458,6032,173,6105,183
16,Manipur,248,6,95,10,127,10,273,13,554,31,84,8,105,0
17,Meghalaya,161,8,199,13,77,12,105,14,361,31,159,8,22,8
18,Mizoram,66,18,0,0,66,15,0,0,130,33,0,0,2,0
19,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Orissa,2628,321,1244,188,4282,512,1494,195,7486,960,1203,117,959,139
21,Punjab,2729,1145,1627,418,1274,327,761,199,4773,1648,917,222,701,219
22,Rajasthan,10171,1457,5917,626,5147,883,3393,480,23411,3202,531,131,686,113
23,Sikkim,54,3,50,11,69,0,30,0,159,12,44,2,0,0
24,Tamil Nadu,18467,1153,14423,1275,28672,2138,5688,585,57521,4739,5875,212,3854,200
25,Telangana,6703,1857,4525,1282,4303,1509,4547,1807,15861,4933,2929,854,1288,668
26,Tripura,47,16,73,3,416,7,180,2,684,25,23,3,9,0
27,Uttarakhand,488,71,645,75,228,72,49,5,1068,123,342,55,0,45
28,Uttar Pradesh,6130,960,10745,1596,4804,1248,9355,1615,17376,2256,6418,1652,7240,1511
29,West Bengal,5115,324,3694,505,3055,391,1011,136,6189,756,3800,529,2886,71
30,A & N Islands,137,8,22,0,49,0,10,0,179,8,0,0,39,0
31,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,D & N Haveli,27,15,23,0,29,0,8,10,87,25,0,0,0,0
33,Daman & Diu,31,7,2,0,0,0,6,3,39,10,0,0,0,0
34,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Lakshadweep,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Puducherry,675,29,204,16,125,1,107,16,852,46,9,1,250,15
Total,Total,171490,17694,97433,12659,130770,15510,80410,10545,389974,40488,50815,8347,39314,7573
