SNo,State,DefectiveBrakes-NumberofAccident-2014,DefectiveBrakes-PersonsKilled-2014,DefectiveBrakes-PersonsInjured-2014,DefectiveSteering-NumberofAccident-2014,DefectiveSteering-PersonsKilled-2014,DefectiveSteering-PersonsInjured-2014,PuncturedBurstTypres-NumberofAccident-2014,PuncturedBurstTypres-PersonsKilled-2014,PuncturedBurstTypres-PersonsInjured-2014,BaldTyres-NumberofAccident-2014,BaldTyres-PersonsKilled-2014,BaldTyres-PersonsInjured-2014,OtherSeriousMechanicalDefect-NumberofAccident-2014,OtherSeriousMechanicalDefect-PersonsKilled-2014,OtherSeriousMechanicalDefect-PersonsInjured-2014
1,Andhra Pradesh,150,77,1820,542,157,438,293,82,376,327,125,400,1221,532,3024
2,Arunachal Pradesh,41,25,57,19,15,45,16,9,35,0,0,0,45,19,49
3,Assam,205,76,206,82,25,66,48,16,69,59,15,77,292,105,257
4,Bihar,793,410,528,376,165,279,314,155,266,137,68,104,546,270,493
5,Chhattisgarh,1396,412,1386,932,245,854,427,121,429,86,25,127,4924,1398,4351
6,Goa,21,1,6,0,0,0,3,0,0,4,0,0,11,0,7
7,Gujarat,835,250,723,265,85,239,375,138,315,321,95,279,1200,335,1167
8,Haryana,330,175,270,291,158,200,292,140,110,210,130,69,508,195,259
9,Himachal Pradesh,17,2,18,0,0,0,0,0,0,4,0,9,16,4,12
10,Jammu & Kashmir,231,65,384,108,28,211,147,39,351,61,31,101,1261,178,1752
11,Jharkhand,419,212,304,115,46,82,142,78,79,47,26,36,1617,895,1461
12,Karnataka,3324,680,3324,472,98,472,445,94,445,442,70,442,3640,730,3640
13,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,6013,783,6811,2473,381,2454,1907,292,1848,2036,287,2085,11087,1589,10112
15,Maharashtra,1272,357,955,916,184,742,1225,302,895,770,215,608,4798,1398,3268
16,Manipur,168,30,263,92,8,140,55,4,95,53,4,107,375,122,690
17,Meghalaya,53,14,35,34,7,24,28,6,20,23,8,15,43,10,26
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,50,15,55,30,0,20,30,7,33,2,0,3,16,0,17
20,Orissa,1045,433,1142,323,114,350,389,166,428,247,101,259,1040,431,1061
21,Punjab,38,31,11,27,10,0,36,28,10,7,1,0,61,37,64
22,Rajasthan,755,373,842,337,160,398,307,172,334,37,24,42,14091,5275,15767
23,Sikkim,24,8,66,0,0,0,0,0,0,3,1,13,132,38,151
24,Tamil Nadu,1372,344,1490,395,84,522,390,147,403,427,107,613,3507,2240,2079
25,Telangana,537,182,636,431,168,625,258,90,170,892,375,1166,1038,239,975
26,Tripura,45,8,107,31,2,72,0,0,0,0,0,0,76,22,84
27,Uttarakhand,109,11,17,54,2,0,40,2,0,54,39,25,366,91,146
28,Uttar Pradesh,3199,1759,2285,2560,1355,1841,2195,1138,1873,1795,996,1277,2910,1608,2104
29,West Bengal,1203,446,2496,525,249,639,384,145,466,983,341,566,1893,876,1616
30,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,87,59,96
33,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,2,0,31,0,0,0,0,0,0
Total,Total,23645,7179,26237,11430,3746,10713,9748,3371,9081,9027,3084,8423,56801,18696,54728
